Fecha	Precipitacion	ETr
2022-01-01	0	1.117568
2022-01-02	0	1.027999
2022-01-03	0	1.103909
2022-01-04	0	1.144277
2022-01-05	0	1.275568
2022-01-06	0	1.283478
2022-01-07	0	1.389009
2022-01-08	0	0.973697
2022-01-09	0	0.856741
2022-01-10	0	1.184484
2022-01-11	0	1.177715
2022-01-12	0	1.000899
2022-01-13	0	0.885226
2022-01-14	0	1.011158
2022-01-15	0	0.906711
2022-01-16	0	0.790342
2022-01-17	0	0.632058
2022-01-18	0	0.749529
2022-01-19	0	0.785009
2022-01-20	0	0.789817
2022-01-21	0	0.767699
2022-01-22	0	0.682063
2022-01-23	0	0.786494
2022-01-24	0	0.83517
2022-01-25	0	0.801723
2022-01-26	0	0.828857
2022-01-27	0	0.684279
2022-01-28	0	0.635046
2022-01-29	0	0.604016
2022-01-30	0	0.648946
2022-01-31	0	0.719551
2022-02-01	0	0.668841
2022-02-02	0	0.606459
2022-02-03	0	0.634498
2022-02-04	0	0.612532
2022-02-05	0	0.679794
2022-02-06	0	0.726909
2022-02-07	0	0.703356
2022-02-08	0	0.681621
2022-02-09	0	0.589961
2022-02-10	0	0.528001
2022-02-11	0	0.562499
2022-02-12	0	0.675181
2022-02-13	0	0.459793
2022-02-14	0	0.536537
2022-02-15	0	0.422214
2022-02-16	0	0.567349
2022-02-17	0	0.566514
2022-02-18	0	0.499581
2022-02-19	0	0.461345
2022-02-20	0	0.393665
2022-02-21	0	0.409881
2022-02-22	0	0.34792
2022-02-23	24.8184	0.36096
2022-02-24	4.6	0.498
2022-02-25	0	2.31664
2022-02-26	0	2.30291
2022-02-27	0	2.19231
2022-02-28	0	2.37587
2022-03-01	0	2.46398
2022-03-02	0	2.88609
2022-03-03	0	1.56657
2022-03-04	0	1.19302
2022-03-05	0	1.02928
2022-03-06	0	0.78454
2022-03-07	0	0.86276
2022-03-08	0	0.71129
2022-03-09	0	0.66787
2022-03-10	0	0.70602
2022-03-11	0	0.76117
2022-03-12	0	0.65511
2022-03-13	0	0.68952
2022-03-14	0	0.61292
2022-03-15	0	0.56292
2022-03-16	0	0.49823
2022-03-17	0	0.42864
2022-03-18	0	0.4748
2022-03-19	0	0.466602
2022-03-20	0	0.352302
2022-03-21	0	0.368343
2022-03-22	0	0.409991
2022-03-23	2.2	0.2163
2022-03-24	0	1.4017
2022-03-25	0	0.424415
2022-03-26	0	0.267193
2022-03-27	0	0.353487
2022-03-28	0	0.328993
2022-03-29	0	0.246564
2022-03-30	0	0.296635
2022-03-31	0	0.320004
2022-04-01	0	0.323384
2022-04-02	0	0.286293
2022-04-03	0	0.219918
2022-04-04	0	0.252684
2022-04-05	0	0.284392
2022-04-06	0	0.283219
2022-04-07	0	0.26284
2022-04-08	0	0.254549
2022-04-09	0	0.202791
2022-04-10	0	0.17933
2022-04-11	0	0.197005
2022-04-12	0	0.198213
2022-04-13	0	0.208099
2022-04-14	0	0.21918
2022-04-15	0	0.149227
2022-04-16	0	0.183324
2022-04-17	0	0.198175
2022-04-18	0	0.18952
2022-04-19	0	0.159708
2022-04-20	0	0.14519
2022-04-21	3.4	0.092633
2022-04-22	21.4	0.15719
2022-04-23	47.6	0.15961
2022-04-24	43.4	0.20205
2022-04-25	2	0.31077
2022-04-26	46.4	0.26457
2022-04-27	6.6	0.37796
2022-04-28	0.2	0.87405
2022-04-29	0	1.49181
2022-04-30	0	1.40489
2022-05-01	0	1.39429
2022-05-02	0	1.37273
2022-05-03	0	1.67859
2022-05-04	0	1.59037
2022-05-05	0	0.88235
2022-05-06	0	1.39875
2022-05-07	0	1.49611
2022-05-08	0	0.98781
2022-05-09	0	0.70614
2022-05-10	0	1.18766
2022-05-11	0	1.33514
2022-05-12	9.6	0.16394
2022-05-13	0.2	0.91811
2022-05-14	0	1.03675
2022-05-15	0	1.48143
2022-05-16	0	1.50424
2022-05-17	0	1.10975
2022-05-18	0	0.163426
2022-05-19	0.2	0.47103
2022-05-20	28.8	0.49858
2022-05-21	0	1.14018
2022-05-22	61.4	0.24172
2022-05-23	13.4	0.20571
2022-05-24	4	0.25005
2022-05-25	0.4	0.52454
2022-05-26	0	0.84371
2022-05-27	0	0.82347
2022-05-28	0	0.83959
2022-05-29	0	0.89846
2022-05-30	0	0.89798
2022-05-31	0	0.81899
2022-06-01	0	0.49056
2022-06-02	1	0.407
2022-06-03	46	0.18962
2022-06-04	39.4	0.23062
2022-06-05	10.4	0.41074
2022-06-06	1	0.34888
2022-06-07	0	1.06118
2022-06-08	0	1.0207
2022-06-09	0	0.95131
2022-06-10	0	1.14655
2022-06-11	0	1.15101
2022-06-12	0	0.30241
2022-06-13	0	0.47874
2022-06-14	7.2	0.26652
2022-06-15	8.2	0.35349
2022-06-16	0	0.75761
2022-06-17	0	0.84342
2022-06-18	0	0.54266
2022-06-19	0	0.59685
2022-06-20	0	0.70831
2022-06-21	0	0.68981
2022-06-22	6.6	0.15903
2022-06-23	95	0.22319
2022-06-24	4.6	0.35102
2022-06-25	0	0.68616
2022-06-26	0	0.65827
2022-06-27	0	0.90154
2022-06-28	4.4	0.2499
2022-06-29	54.2	0.40494
2022-06-30	0.2	0.48704
2022-07-01	70.4	0.26983
2022-07-02	6.2	0.33977
2022-07-03	0.2	0.35778
2022-07-04	7	0.36539
2022-07-05	0.8	0.30186
2022-07-06	40.2	0.30371
2022-07-07	0.2	0.64664
2022-07-08	0	0.83125
2022-07-09	46.2	0.20325
2022-07-10	5.6	0.29469
2022-07-11	0.4	0.370583
2022-07-12	1.8	0.25043
2022-07-13	24.6	0.28323
2022-07-14	19.8	0.17929
2022-07-15	0.4	0.18099
2022-07-16	1	0.33241
2022-07-17	21.2	0.19631
2022-07-18	0.2	0.61374
2022-07-19	0	0.91237
2022-07-20	0	0.98612
2022-07-21	0	0.83549
2022-07-22	0	1.24651
2022-07-23	0	0.62066
2022-07-24	0	0.54911
2022-07-25	3.2	0.26303
2022-07-26	6	0.42259
2022-07-27	0.2	0.79833
2022-07-28	0	1.13058
2022-07-29	0	1.23657
2022-07-30	0	0.79511
2022-07-31	0	1.12255
2022-08-01	0	1.04406
2022-08-02	0	1.13212
2022-08-03	0	0.99989
2022-08-04	0	1.20143
2022-08-05	1.6	0.48112
2022-08-06	28	0.23308
2022-08-07	18.8	0.4262
2022-08-08	0	1.1458
2022-08-09	0	1.38571
2022-08-10	0	1.41494
2022-08-11	0	1.44154
2022-08-12	1.6	0.49598
2022-08-13	1.8	0.52824
2022-08-14	26	0.4677
2022-08-15	3.2	0.50888
2022-08-16	39.2	0.39499
2022-08-17	0	1.16881
2022-08-18	0	1.34012
2022-08-19	0	1.72511
2022-08-20	0	1.79098
2022-08-21	0	1.93358
2022-08-22	0	1.17791
2022-08-23	0	1.14122
2022-08-24	0	1.40052
2022-08-25	0	1.72792
2022-08-26	0	1.52324
2022-08-27	0	1.48477
2022-08-28	0	2.1195
2022-08-29	0	2.1958
2022-08-30	0	0.97013
2022-08-31	0	1.16506
2022-09-01	0	1.66764
2022-09-02	0	2.0623
2022-09-03	0	2.3623
2022-09-04	0	2.347
2022-09-05	0	2.432
2022-09-06	0	2.3462
2022-09-07	13.6	0.54944
2022-09-08	0	1.53183
2022-09-09	0	1.76325
2022-09-10	0	2.1693
2022-09-11	0	1.56455
2022-09-12	0	1.87426
2022-09-13	0	1.99004
2022-09-14	0	2.3604
2022-09-15	0	2.2103
2022-09-16	0.2	1.30762
2022-09-17	9.6	0.71741
2022-09-18	0	1.74216
2022-09-19	0	1.94341
2022-09-20	0.2	1.3944
2022-09-21	0.4	1.37368
2022-09-22	0	2.3726
2022-09-23	0	2.1717
2022-09-24	2.4	0.66585
2022-09-25	0	1.92737
2022-09-26	0	2.3132
2022-09-27	0	2.4793
2022-09-28	0	3.2198
2022-09-29	0	2.5118
2022-09-30	0	2.3112
2022-10-01	0	2.9717
2022-10-02	0	3.2206
2022-10-03	0	1.87017
2022-10-04	5.8	0.78763
2022-10-05	0.2	2.01833
2022-10-06	0	2.2883
2022-10-07	0.8	1.18174
2022-10-08	0.2	2.01663
2022-10-09	0	2.7667
2022-10-10	0	2.8641
2022-10-11	0	2.6378
2022-10-12	0	2.5274
2022-10-13	0	2.8245
2022-10-14	0	3.123
2022-10-15	0	3.7356
2022-10-16	0	3.5709
2022-10-17	0	2.9985
2022-10-18	0	2.7428
2022-10-19	0	2.9443
2022-10-20	0	3.4294
2022-10-21	0	2.8404
2022-10-22	0	3.367
2022-10-23	0	3.019
2022-10-24	0	3.5197
2022-10-25	0	2.7494
2022-10-26	0	2.7953
2022-10-27	0	2.48276
2022-10-28	0	1.80669
2022-10-29	0.2	1.81787
2022-10-30	0.2	1.75001
2022-10-31	0	2.39642
2022-11-01	0	3.07162
2022-11-02	0	2.64176
2022-11-03	0	2.30579
2022-11-04	0	2.01875
2022-11-05	0	2.02177
2022-11-06	0	2.15996
2022-11-07	0	2.37122
2022-11-08	0	1.87934
2022-11-09	8	1.1836
2022-11-10	0	2.9723
2022-11-11	7.6	1.5721
2022-11-12	20.2	1.3546
2022-11-13	0.6	2.50299
2022-11-14	0	3.9944
2022-11-15	0	4.5174
2022-11-16	0	4.7247
2022-11-17	0	4.566
2022-11-18	0	4.3772
2022-11-19	0	3.747
2022-11-20	0	3.9712
2022-11-21	0	4.8982
2022-11-22	0	4.0367
2022-11-23	0	3.25849
2022-11-24	0	2.95054
2022-11-25	0	2.92997
2022-11-26	0	3.05692
2022-11-27	0	2.84308
2022-11-28	0	2.48394
2022-11-29	0	2.41308
2022-11-30	0	2.21448
2022-12-01	0	2.38207
2022-12-02	0	2.57207
2022-12-03	0	2.29496
2022-12-04	0	2.39981
2022-12-05	0	2.37607
2022-12-06	0	2.43467
2022-12-07	0	1.976
2022-12-08	0	1.90713
2022-12-09	0	1.78
2022-12-10	0	2.09178
2022-12-11	0	1.860082
2022-12-12	0	1.807614
2022-12-13	0	2.018967
2022-12-14	0	1.69103
2022-12-15	0	1.916435
2022-12-16	0	1.796817
2022-12-17	0	1.659627
2022-12-18	0	1.585711
2022-12-19	0	1.247449
2022-12-20	0	1.324193
2022-12-21	0	1.374163
2022-12-22	0	1.095166
2022-12-23	0	1.116191
2022-12-24	0	1.514786
2022-12-25	0	1.503022
2022-12-26	0	0.839041
2022-12-27	0	1.214293
2022-12-28	0	1.197033
2022-12-29	0	1.444507
2022-12-30	0	1.075653
2022-12-31	0	0.670836
2023-01-01	0	0.989751
2023-01-02	0	0.981587
2023-01-03	0	0.963999
2023-01-04	0	1.083951
2023-01-05	0	0.758255
2023-01-06	0	0.883319
2023-01-07	0	0.978511
2023-01-08	0	1.030389
2023-01-09	0	0.880091
2023-01-10	0	0.844021
2023-01-11	0	0.778975
2023-01-12	0	0.817504
2023-01-13	0	0.875092
2023-01-14	0	0.793829
2023-01-15	0	0.764249
2023-01-16	0	0.753589
2023-01-17	0	0.738742
2023-01-18	0	0.850918
2023-01-19	0	0.623066
2023-01-20	0	0.640149
2023-01-21	0	0.744446
2023-01-22	0	0.779269
2023-01-23	0	0.716634
2023-01-24	1.4	0.592109
2023-01-25	0	0.63549
2023-01-26	0	0.624444
2023-01-27	0	0.62832
2023-01-28	0	0.698829
2023-01-29	0	0.670655
2023-01-30	0	0.624084
2023-01-31	0	0.599377
2023-02-01	0	0.614423
2023-02-02	0	0.623648
2023-02-03	0	0.630302
2023-02-04	0	0.415494
2023-02-05	0	0.536628
2023-02-06	0	0.558397
2023-02-07	0	0.565909
2023-02-08	0	0.54492
2023-02-09	0	0.569688
2023-02-10	0	0.502253
2023-02-11	0	0.530647
2023-02-12	0	0.397478
2023-02-13	0	0.427651
2023-02-14	0	0.400841
2023-02-15	0	0.444057
2023-02-16	0	0.354547
2023-02-17	0	0.418407
2023-02-18	0	0.42711
2023-02-19	0	0.425135
2023-02-20	0	0.421247
2023-02-21	0	0.417242
2023-02-22	0	0.402633
2023-02-23	0	0.394898
2023-02-24	0	0.356278
2023-02-25	0	0.323124
2023-02-26	0	0.345225
2023-02-27	0	0.37009
2023-02-28	0	0.359946
2023-03-01	0	0.315906
2023-03-02	0	0.362792
2023-03-03	0	0.304759
2023-03-04	0	0.322762
2023-03-05	0	0.315757
2023-03-06	0	0.250265
2023-03-07	0	0.254329
2023-03-08	0	0.236186
2023-03-09	0	0.207927
2023-03-10	0	0.236132
2023-03-11	0	0.218048
2023-03-12	0	0.239817
2023-03-13	0	0.219168
2023-03-14	0	0.226371
2023-03-15	0	0.219587
2023-03-16	0	0.205685
2023-03-17	0	0.219106
2023-03-18	0	0.229179
2023-03-19	0	0.225872
2023-03-20	0	0.225968
2023-03-21	0	0.231136
2023-03-22	0	0.225795
2023-03-23	0	0.226086
2023-03-24	0	0.209458
2023-03-25	0	0.197893
2023-03-26	0	0.21409
2023-03-27	0	0.183678
2023-03-28	0	0.149489
2023-03-29	0	0.147203
2023-03-30	0	0.140398
2023-03-31	0	0.1912253
2023-04-01	0	0.1764617
2023-04-02	0	0.1546696
2023-04-03	0	0.1554901
2023-04-04	0	0.1717618
2023-04-05	0	0.1274239
2023-04-06	0	0.151479
2023-04-07	0	0.1518946
2023-04-08	0	0.157571
2023-04-09	0	0.1465084
2023-04-10	0	0.1365972
2023-04-11	0	0.1224476
2023-04-12	0	0.1155396
2023-04-13	0	0.0977
2023-04-14	0	0.079988
2023-04-15	0	0.1028699
2023-04-16	0	0.1048728
2023-04-17	0	0.0837134
2023-04-18	0	0.0851859
2023-04-19	0	0.1017272
2023-04-20	0	0.0928357
2023-04-21	3.4	0.059443
2023-04-22	0	0.900256
2023-04-23	0	1.027564
2023-04-24	0	0.133668
2023-04-25	0	0.134001
2023-04-26	0	0.136505
2023-04-27	0	0.129054
2023-04-28	8.4	0.12874
2023-04-29	32.8	0.12518
2023-04-30	6.2	0.17423
2023-05-01	0	0.74888
2023-05-02	0	0.91014
2023-05-03	5.4	0.24149
2023-05-04	0	0.79189
2023-05-05	0	1.34412
2023-05-06	0	0.335039
2023-05-07	0	0.38853
2023-05-08	0	0.53194
2023-05-09	0	0.94235
2023-05-10	0	0.85418
2023-05-11	0	1.13818
2023-05-12	0	1.20559
2023-05-13	0	1.13337
2023-05-14	0	0.52587
2023-05-15	0.8	0.15203
2023-05-16	0.6	0.20544
2023-05-17	0.4	0.212643
2023-05-18	0	0.70658
2023-05-19	0	0.97164
2023-05-20	0	0.88796
2023-05-21	32.2	0.10014
2023-05-22	5.2	0.13476
2023-05-23	14	0.15419
2023-05-24	0.4059	0.196613
2023-05-25	0.4059	0.243544
2023-05-26	3.8934	0.16448
2023-05-27	0	0.70246
2023-05-28	0	0.51995
2023-05-29	0	0.76395
2023-05-30	0	0.86209
2023-05-31	4.3584	0.1924
2023-06-01	7.6134	0.21549
2023-06-02	19.7034	0.1926
2023-06-03	5.2884	0.17409
2023-06-04	0.4059	0.312706
2023-06-05	0	0.83259
2023-06-06	0	0.64184
2023-06-07	0.4059	0.285044
2023-06-08	52.9509	0.16919
2023-06-09	1.3359	0.21929
2023-06-10	0	0.60172
2023-06-11	0	0.56241
2023-06-12	0	0.71856
2023-06-13	0	0.83412
2023-06-14	0	1.00535
2023-06-15	0	0.91138
2023-06-16	0	0.6151
2023-06-17	0	0.66597
2023-06-18	0	0.55893
2023-06-19	0	0.75269
2023-06-20	0.4059	0.2698
2023-06-21	9.4734	0.21444
2023-06-22	60.8559	0.23434
2023-06-23	82.9434	0.1704
2023-06-24	102.7059	0.11231
2023-06-25	48.7659	0.29408
2023-06-26	0.4059	0.3382
2023-06-27	15.5184	0.37406
2023-06-28	0.4059	0.3091
2023-06-29	0	0.78389
2023-06-30	0	1.05778
2023-07-01	0	0.84845
2023-07-02	49.2309	0.15013
2023-07-03	4.1259	0.36549
2023-07-04	10.4034	0.31124
2023-07-05	3.1959	0.26609
2023-07-06	0.4059	0.389096
2023-07-07	0.6384	0.29283
2023-07-08	22.9584	0.34884
2023-07-09	0	0.81683
2023-07-10	0	0.83951
2023-07-11	9.7059	0.31894
2023-07-12	34.5834	0.32582
2023-07-13	0	0.84536
2023-07-14	0	0.689
2023-07-15	0.4059	0.3551801
2023-07-16	0	0.64824
2023-07-17	0	0.90694
2023-07-18	0	0.79763
2023-07-19	0	1.08168
2023-07-20	0	0.80258
2023-07-21	29.9334	0.36591
2023-07-22	18.7734	0.41387
2023-07-23	0.4059	0.31369
2023-07-24	0.2	0.65827
2023-07-25	6.4	0.40782
2023-07-26	0	0.81046
2023-07-27	0	1.13405
2023-07-28	0	1.12074
2023-07-29	0	1.21405
2023-07-30	0	1.0094
2023-07-31	0	1.03284
2023-08-01	0.4	0.74767
2023-08-02	0	1.01786
2023-08-03	0	1.13698
2023-08-04	0	1.24099
2023-08-05	0	0.96918
2023-08-06	0	1.21513
2023-08-07	0	1.10978
2023-08-08	0	1.38194
2023-08-09	22.8	0.52338
2023-08-10	11.6	0.48888
2023-08-11	0.2	0.83206
2023-08-12	0	1.39211
2023-08-13	0	1.63988
2023-08-14	0	1.41159
2023-08-15	0.6	0.44087
2023-08-16	16	0.36902
2023-08-17	10.8	0.58598
2023-08-18	0.2	1.05618
2023-08-19	106.6	0.51155
2023-08-20	137	0.32705
2023-08-21	111.2	0.48372
2023-08-22	32.4	0.43485
2023-08-23	7	0.48779
2023-08-24	5.2	0.58283
2023-08-25	0	1.29859
2023-08-26	0	1.513
2023-08-27	0	1.63616
2023-08-28	19.4	0.46235
2023-08-29	0	1.40126
2023-08-30	11	0.65839
2023-08-31	0.2	0.94305
2023-09-01	0	1.18609
2023-09-02	17.4	0.31218
2023-09-03	7.2	0.48117
2023-09-04	0.4	0.68375
2023-09-05	13.6	0.52456
2023-09-06	37.6	0.69841
2023-09-07	1	0.65377
2023-09-08	0	1.74361
2023-09-09	30.4	0.46252
2023-09-10	42	0.66006
2023-09-11	14.6	0.76972
2023-09-12	0.2	1.42707
2023-09-13	0	1.57034
2023-09-14	8.8	0.78997
2023-09-15	0	2.00584
2023-09-16	20.4	0.70248
2023-09-17	1.4	0.7812
2023-09-18	0	1.74653
2023-09-19	0	1.57957
2023-09-20	0	1.70341
2023-09-21	5.2	0.70339
2023-09-22	0.2	1.22175
2023-09-23	0	1.95031
2023-09-24	0	2.2148
2023-09-25	2.2	1.0039
2023-09-26	0	1.94123
2023-09-27	0	2.2227
2023-09-28	0	1.85422
2023-09-29	0	2.8309
2023-09-30	0	3.0663
2023-10-01	0	1.58513
2023-10-02	0	1.73649
2023-10-03	0	2.0346
2023-10-04	0	2.5178
2023-10-05	0	2.4106
2023-10-06	0	2.2793
2023-10-07	0	2.6088
2023-10-08	0	2.7127
2023-10-09	0	2.9161
2023-10-10	0	2.5967
2023-10-11	0	2.7419
2023-10-12	0	2.9404
2023-10-13	0	3.0881
2023-10-14	0	3.0218
2023-10-15	0	2.6283
2023-10-16	0	2.8782
2023-10-17	0	3.5617
2023-10-18	0	2.6343
2023-10-19	0	3.3471
2023-10-20	0	2.6701
2023-10-21	0	3.1937
2023-10-22	0	3.19
2023-10-23	0	2.8429
2023-10-24	0	3.3192
2023-10-25	0	3.4196
2023-10-26	0	3.2944
2023-10-27	1.28028	1.2723
2023-10-28	81.1923	0.67376
2023-10-29	8.7609	1.0872
2023-10-30	0	2.379
2023-10-31	0	2.7437
2023-11-01	0	2.5509
2023-11-02	0	3.0365
2023-11-03	0	3.4943
2023-11-04	0	3.6521
2023-11-05	0	2.2328
2023-11-06	0	2.5517
2023-11-07	4	1.5903
2023-11-08	0	3.5047
2023-11-09	0	3.8323
2023-11-10	0	2.1744
2023-11-11	20.0412	1.002
2023-11-12	0	2.6661
2023-11-13	0	3.1407
2023-11-14	0	3.1948
2023-11-15	0	2.8121
2023-11-16	0	3.2442
2023-11-17	45	0.87681
2023-11-18	0	2.7736
2023-11-19	0	3.8255
2023-11-20	0	3.1539
2023-11-21	0	3.3082
2023-11-22	0	3.53
2023-11-23	0	4.5401
2023-11-24	0	4.1953
2023-11-25	0	4.1633
2023-11-26	0	4.6452
2023-11-27	0	2.7778
2023-11-28	0	2.8719
2023-11-29	0	4.2009
2023-11-30	0	4.2197
2023-12-01	0	3.1249
2023-12-02	0	3.0121
2023-12-03	0	3.9258
2023-12-04	0	4.7401
2023-12-05	0	2.8462
2023-12-06	0	4.6644
2023-12-07	0	4.9466
2023-12-08	0	4.2741
2023-12-09	0	4.4801
2023-12-10	0	5.7454
2023-12-11	0	3.9948
2023-12-12	0	3.8484
2023-12-13	0	4.6232
2023-12-14	0	4.1168
2023-12-15	0	3.5746
2023-12-16	0	3.0507
2023-12-17	5.8	1.8071
2023-12-18	0	4.307
2023-12-19	0	3.5287
2023-12-20	0	4.434
2023-12-21	0	3.40185
2023-12-22	0	3.22418
2023-12-23	0	2.93547
2023-12-24	0	3.10131
2023-12-25	0	3.31434
2023-12-26	0	2.94019
2023-12-27	0	1.89079
2023-12-28	0	1.85203
2023-12-29	0	2.87848
2023-12-30	0	1.82633
2023-12-31	0	2.02628
